day type name,day part name,value
M - Su,3am - 4am,35.0
M - Su,4am - 5am,97.0
M - Su,5am - 6am,20.0
M - Su,6am - 7am,46.0
M - Su,7am - 8am,39.0
M - Su,8am - 9am,75.0
M - Su,9am - 10am,109.0
M - Su,10am - 11am,138.0
M - Su,11am - 12pm,141.0
M - Su,12pm - 1pm,141.0
M - Su,1pm - 2pm,128.0
M - Su,2pm - 3pm,154.0
M - Su,3pm - 4pm,111.0
M - Su,4pm - 5pm,99.0
M - Su,5pm - 6pm,72.0
M - Su,6pm - 7pm,61.0
M - Su,7pm - 8pm,80.0
M - Su,8pm - 9pm,13.0
M - Su,9pm - 10pm,4.0
M - Su,10pm - 11pm,6.0
