Date,Volume,Dwell Time
2022-05-01,561.8031,21.181979148451887
2022-05-02,344.01718,21.925550563384697
2022-05-03,408.69922,22.06855743774141
2022-05-04,472.99973,22.973885958931973
2022-05-05,679.9621,22.652680688138368
2022-05-06,755.22345,22.95235454877998
2022-05-07,710.93585,22.672157799625346
2022-05-08,765.7982,22.124355129762957
2022-05-09,572.8952,21.19837708531088
2022-05-10,413.4508,22.06855743774141
2022-05-11,726.3131,22.782047925848154
2022-05-12,587.4491,21.665303804497483
2022-05-13,745.4933,22.560814592577866
2022-05-14,415.70798,22.003571870894092
2022-05-15,386.19696,21.647607234115522
